transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,Unnamed: 46
1-102-2024-54901,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,10-09-2024,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,وادي 645,WADI 645,2999,وادي 645,WADI 645,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,70.9,924402.0,13038.11,,,1.0,5.0,0.0,
1-102-2025-109972,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,03-11-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,أميثست باي سيرويا,AMETHYST BY SIROYA,3244,اميثيست بواسطة سيرويا,AMETHYST BY SIROYA,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفتين,2 B/R,1,95.45,1130162.0,11840.36,,,1.0,1.0,0.0,
1-11-2024-36762,11,1,مبايعات,Sales,بيع,Sell,30-09-2024,1,أرض,Land,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,465,وادي الصفا 3,Wadi Al Safa 3,,,,,,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,,,0,1162.03,7000000.0,6023.94,,,1.0,1.0,0.0,
1-102-2025-57287,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,02-07-2025,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,فورست سيتي تاور,FOREST CITY TOWER,3330,فورست سيتي تاور,FOREST CITY TOWER,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,,,1,41.04,1028888.0,25070.37,,,1.0,1.0,0.0,
1-102-2025-128043,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,15-12-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,فورست سيتي تاور,FOREST CITY TOWER,3330,فورست سيتي تاور,FOREST CITY TOWER,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,65.89,860320.0,13056.91,,,1.0,1.0,0.0,
1-102-2025-60644,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,10-07-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,فورست سيتي تاور,FOREST CITY TOWER,3330,فورست سيتي تاور,FOREST CITY TOWER,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,65.9,824493.0,12511.28,,,1.0,1.0,0.0,
1-102-2025-52103,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,18-06-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,فورست سيتي تاور,FOREST CITY TOWER,3330,فورست سيتي تاور,FOREST CITY TOWER,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,ثلاث غرف,3 B/R,1,169.66,2000000.0,11788.28,,,1.0,1.0,0.0,
1-102-2025-57094,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,01-07-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,فورست سيتي تاور,FOREST CITY TOWER,3330,فورست سيتي تاور,FOREST CITY TOWER,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,65.79,832245.0,12650.04,,,1.0,1.0,0.0,
2-810-2024-717,810,2,رهون,Mortgages,تسجيل اجارة تمويلية,Lease Finance Registration,08-07-2024,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,465,وادي الصفا 3,Wadi Al Safa 3,Paradise View 1,Paradise View 1,1912,باراديس فيو 1,Paradise View 1,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,استوديو,Studio,1,44.65,336288.0,7531.65,,,1.0,1.0,0.0,
2-810-2024-742,810,2,رهون,Mortgages,تسجيل اجارة تمويلية,Lease Finance Registration,09-07-2024,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,465,وادي الصفا 3,Wadi Al Safa 3,Paradise View 1,Paradise View 1,1912,باراديس فيو 1,Paradise View 1,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,72.42,421453.0,5819.57,,,1.0,1.0,0.0,
1-11-2025-43908,11,1,مبايعات,Sales,بيع,Sell,21-10-2025,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,465,وادي الصفا 3,Wadi Al Safa 3,Paradise View 1,Paradise View 1,1912,باراديس فيو 1,Paradise View 1,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,82.82,1002903.0,12109.43,,,1.0,1.0,0.0,
1-11-2024-47487,11,1,مبايعات,Sales,بيع,Sell,09-12-2024,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,465,وادي الصفا 3,Wadi Al Safa 3,Paradise View 1,Paradise View 1,1912,باراديس فيو 1,Paradise View 1,Majan,ماجان,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفة,1 B/R,1,77.14,894888.0,11600.83,,,1.0,1.0,0.0,
